"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 3/2015","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025"
"räkna ut bmi online",10,10,10,10,"Sweden","",36,,-33,"","","","","","","","","","","","","","","","","","","","","","","","50","90","40","10","10","10","10","10","0","0","0","10","10","10","0","10","10","0","10","0","10","0","10","10","10","10","10","10","0","0","10","0","10","0","10","10","0","10","10","10","10","","","","","","","","","","","","","","","","","","","","","",10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,0,0,10,10,0,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10
"räkna ut bmi själv",10,10,10,10,"Sweden","",21,,-33,"","","","","","20","40","10","10","20","20","50","40","30","70","40","40","50","40","40","20","70","70","30","30","210","70","30","20","10","140","10","10","10","10","20","40","10","10","10","10","10","10","20","10","10","140","10","10","10","10","20","10","10","10","10","10","10","10","10","10","10","20","30","10","50","10","20","20","10","10","10","10","10","20","10","20","20","10","10","10","10","10","10","10",10,10,10,10,10,20,10,20,10,20,20,10,10,10,10,20,10,10,10,20,20,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10
"räkna ut bmi vuxen",10,10,10,10,"Sweden","",33,,25,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","30","30","70","10","10","30","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0",10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,30,20,10,10,10,10,10,10,10,10,10,10,20,30,10,10,10
"räkna ut bmi värde",10,10,10,10,"Sweden","0.22",50,,-33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10
"räkna ut bmi äldre",10,10,10,10,"Sweden","",24,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","40","20","10","10","10","10","10","10","10","10","10","10","10","10","20","10","10","10","10","10","10","10",10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10
"räkna ut bmi ålder",10,10,10,10,"Sweden","",13,,67,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","20","70","50","10","20","20","10","10","10","10","10","10","10","10","20","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,0,10,10,10,20,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,10,10
"räkna ut din idealvikt",10,10,10,10,"Sweden","",43,,0,"","","","","","10","10","10","10","10","10","10","10","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"räkna ut ditt bmi kroppsfett",10,10,10,10,"Sweden","",43,,50,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,20,10,10,10,10,10,10,10,10
"räkna ut ditt bmi kvinna",10,10,10,10,"Sweden","0.59",73,,-56,"","","","","10","10","10","10","10","10","10","10","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","20","10","20","10","10","40","50","10","40","50","10","10","10","10","10","10","20","20","10","10","10","10","10","10","10",10,10,10,0,10,10,10,10,0,0,10,10,10,70,50,10,10,10,0,10,10,10,10,10,10,10,10,10,10,20,30,20,10,50,30,10,10,10,10,10,10,10,10,10,10,10,20,10
"räkna ut ditt kroppsfett",10,10,10,10,"Sweden","",7,,0,"","","","","","20","30","20","20","10","10","20","20","20","20","20","10","10","10","10","10","10","10","20","10","10","20","10","20","20","10","10","10","10","20","10","10","10","20","20","10","10","10","20","20","30","10","20","10","20","20","10","20","10","10","10","20","10","10","20","20","10","10","10","10","10","10","10","10","","","","","","","","","","","","","","","","",10,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10
"räkna ut fetma",10,10,10,10,"Sweden","",43,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","50","10","10","10","10","10","10","10","10","10","10","10","20","10","10","10","10","10","0","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10
"räkna ut idealvikt",30,30,30,30,"Sweden","0.50",24,,-18,"","","","","","50","50","40","30","20","30","20","20","40","50","30","30","40","40","40","40","50","40","30","40","30","50","50","50","70","70","40","480","90","50","50","70","40","90","50","70","90","70","50","50","40","50","40","50","40","90","50","50","50","70","50","50","50","40","40","","","70","40","40","40","50","50","40","70","50","50","40","40","70","40","50","40","50","40","30","50","40","40","30",20,50,40,30,30,50,30,40,30,30,30,40,30,40,30,40,50,40,40,30,50,40,30,30,40,30,30,40,30,50,40,30,30,40,40,30,30,50,30,40,30,40,30,20,40,20,30,40
"räkna ut iso bmi",30,30,30,40,"Sweden","",1,,10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","20","20","20","20","10","10","10","10","10","10","20","30","30","20","40","40","40","20","30","20","10","20",10,10,10,10,10,20,10,10,10,10,20,10,20,30,30,20,20,20,20,20,10,20,20,20,30,70,50,40,50,40,20,20,30,40,30,40,20,50,40,40,40,30,30,20,20,50,40,50
"räkna ut midjemått",10,10,10,10,"Sweden","",1,,-25,"","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","10","10","20","10","10","20","10","10","10","10","20","10","30","10","10","30","30","30","40","30","40","50","50","50","70","40","30","40","30","20","10","10",10,20,10,20,10,10,20,10,10,20,10,10,10,20,20,50,20,20,10,20,10,30,20,10,10,10,20,10,10,10,10,10,10,20,10,10,10,20,10,20,10,20,10,10,10,10,10,20
"räkna ut målvikt",30,30,20,10,"Sweden","0.90",29,,-14,"","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","10","10","10","10","10","10","20","10","10","10","20","10","10","20","20","20","20","20","20","10","20","10","30","20","30","10","20","10","10","20","10","10","10",10,20,10,20,20,10,10,10,10,10,10,10,10,30,20,20,20,30,20,30,30,20,30,20,10,40,50,30,40,20,30,20,20,30,20,20,30,50,50,40,50,40,20,30,30,10,20,10
"räkna ut om man är överviktig",10,10,10,10,"Sweden","0.44",64,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","10","10","10","10","10","10","10","10","10","10","10","10","10","30","10","10","10","10","10","10","10","10",10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10
"räkna ut övervikt",10,10,10,10,"Sweden","0.52",67,,-43,"","","","","","10","10","10","10","10","10","10","10","10","10","10","10","20","10","20","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","10","20","30","20","20","20","20","10","20","10","20","40","30","20","10","10","10","10","20","20","30","30","20","40","20","30","10","10","10","20","10",10,20,10,20,10,20,10,10,10,20,10,10,10,20,10,30,10,10,20,20,20,20,10,10,20,30,20,40,30,20,30,20,20,30,20,20,20,20,10,20,30,20,10,10,10,20,10,20
"räkna utbmi",10,10,,,"Sweden","",,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","10","70","40","10","30","40","10","20","10","10","20","10","20","30","30","20","10","10","10","10","10",10,10,10,10,10,10,10,10,10,20,10,20,10,10,20,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0
"ta reda på ditt bmi",10,10,10,10,"Sweden","",57,,0,"","","","","","30","40","10","20","10","50","20","30","20","30","20","30","","20","20","10","30","40","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,0,0,10,10,0,10,0,0,0,10,10,10,10,10,10,0,0,10,0,0,10,0,10,10,10,0,10,0,0,10,10
"uträkning av bmi",4600,4700,4900,5400,"Sweden","0.27",45,,51,"","","","","","40","40","10","10","20","30","40","70","40","40","50","70","40","30","40","10","20","40","40","40","30","40","50","40","50","50","30","20","30","30","50","50","30","40","30","40","50","50","30","20","30","30","30","10","30","30","30","30","40","30","20","20","40","30","20","20","10","30","50","50","210","170","30","140","90","40","50","20","10","20","20","40","90","110","20","20","20","20","40","30",4400,4400,3600,3600,880,880,590,390,590,720,590,480,390,480,480,590,480,590,390,390,480,590,720,590,720,1600,1600,2400,2400,2400,2900,2400,2900,2900,3600,3600,3600,4400,3600,5400,4400,4400,4400,4400,4400,4400,5400,6600
"övervikt räkna ut",10,10,10,10,"Sweden","0.88",81,,-50,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,0,10,10
