"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 3/2015","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025"
"bmi kalkylator barn",120,120,110,130,"Sweden","",1,,34,"","","","","","10","10","10","10","10","10","30","20","20","10","10","10","","20","10","10","10","10","20","20","10","20","10","20","10","10","10","","","","","","","","","","","","","","","","","","","","40","10","10","30","20","10","20","40","20","30","10","40","20","10","50","70","40","70","70","40","40","40","40","50","50","70","70","90","110","70","70","70","70","90",70,90,90,70,70,50,90,70,70,90,70,90,90,90,40,50,70,50,70,50,90,90,90,30,70,90,70,90,90,50,70,90,90,90,110,90,90,140,140,140,140,140,90,90,140,140,110,140
"bmi kalkylator kry",10,10,10,10,"Sweden","",2,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","30","10","10","10","10","10","10","10","10","10","10","10","10","10","0","10",0,20,20,20,30,30,30,30,30,20,20,30,20,30,30,20,20,20,30,20,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"bmi kalkylator män",110,110,140,180,"Sweden","0.27",44,,65,"","","","","","10","10","10","10","10","20","10","10","10","40","50","20","10","20","10","10","10","10","10","10","10","20","10","10","10","10","20","10","30","30","10","10","10","10","10","10","10","10","10","10","10","10","20","20","20","10","10","10","10","20","30","70","40","20","30","20","10","20","10","20","50","260","30","320","30","20","30","20","30","40","50","40","70","210","110","70","30","30","30","30",90,110,50,70,70,40,40,40,50,50,50,50,20,30,10,30,20,30,30,10,40,70,90,30,50,90,90,110,70,70,90,70,90,110,110,70,110,90,90,70,70,70,50,110,170,170,170,210
"bmi räkna kvinna",10,10,10,10,"Sweden","0.21",57,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","30","10","10","10","10","10","10","10","10","10","10","0","10","10","10","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"bmi räkna ut barn",20,20,20,20,"Sweden","",1,,20,"","","","","","","","","","","","","","","","","","","10","110","40","10","10","10","10","40","50","20","30","20","10","10","20","10","10","10","10","10","10","10","10","10","10","10","10","10","30","30","50","40","10","10","10","40","10","10","20","10","10","10","20","10","10","10","50","10","10","20","10","10","10","10","10","20","10","10","20","10","10","10","20","10","10","10","30",10,20,20,20,20,20,20,10,10,20,10,20,20,20,20,10,10,10,10,10,10,10,20,10,10,20,30,10,20,20,10,20,20,10,20,10,20,30,30,20,20,20,10,20,30,20,10,30
"bmi räkna ut formel",40,40,50,60,"Sweden","0.43",24,,71,"","","","","","","","","","","","","","","40","50","70","50","30","170","50","50","20","30","10","30","20","10","20","10","10","10","20","10","30","50","30","20","30","20","30","10","20","10","10","20","20","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","20","10","10","10","10","20","70","10","30","30","10","20","10","10","20","10","10","0","10","10","10","10",90,140,140,140,170,90,50,50,50,90,110,90,90,170,110,170,110,110,70,40,30,90,140,50,70,70,40,110,90,70,90,40,50,50,40,40,20,20,30,40,20,40,20,50,90,110,40,40
"bmi räkna ut kvinna",1900,2000,2100,2400,"Sweden","0.32",56,,33,"","","","","","30","10","10","10","10","20","110","20","10","20","30","70","70","40","170","40","90","70","90","10","50","110","140","140","170","50","20","10","30","90","10","10","10","10","10","10","10","10","10","10","10","20","40","50","70","50","50","40","90","90","30","10","50","30","10","","","260","30","10","40","140","110","90","10","20","30","10","20","40","20","40","70","90","40","30","30","20","30","30",1300,1600,1300,1300,1000,1300,1000,1000,1300,1600,1000,1000,880,1900,1600,1600,720,880,1600,1600,1900,1900,2400,1600,1000,1900,1900,2400,1900,1900,1600,1300,1600,1900,1900,1600,1300,1900,1900,2400,1600,1900,1600,1600,2400,2400,2400,2400
"bmi räkna ut man",10,10,10,10,"Sweden","0.29",48,,33,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","50","20","10","20","30","50","20","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,10,20,10,10,20,10,10,10
"bmi räknare aleris",20,20,20,20,"Sweden","",4,,14,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","10","10","10","10","20","30","20","20","20","40","30","30","20","10","50","20","70","40","20","40",20,20,20,40,40,50,50,20,50,40,40,20,20,30,20,20,20,30,30,20,10,30,30,20,30,40,30,20,20,30,20,10,20,20,30,20,20,20,30,20,30,20,30,10,30,20,30,10
"bmi räknare för barn",10,10,10,10,"Sweden","",1,,33,"","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","40","20","20","20","20","10","20","10","30","20","20","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","20","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","20","10","20","10","10","10","10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10
"bmi räknare gå ner i vikt",10,10,10,10,"Sweden","",71,,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","20","10","10","10","10","10","10","10","10","20","10","20","10","10","10","10","10","10",10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10
"bmi räknare man ålder",30,30,30,40,"Sweden","0.33",20,,20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","40","50","70","70","50","30","50","30","30","40","40","70","70","90","20","50","30","30","30","30",40,40,50,40,30,20,30,30,90,50,40,70,40,70,90,70,40,50,40,30,30,40,70,40,30,50,50,70,50,50,50,40,20,40,40,30,30,30,30,30,20,30,20,40,40,40,40,50
"bmi räknare med ålder",10,10,10,10,"Sweden","0.36",20,,67,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","10","10","10","10","10","10","20","10","10","10","10","10","10","30","20","10","10","10","10","10","10","10",20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,40,30,30,10,20,10,10,10,10,10,10,10,20,30,20,20,20,10,20,10,20,20
